Order_ID,Order_Date,Customer_ID,Category,Sub_Category,Brand,Product_Name,Original_Price,Discount_Percent,Discount_Amount,Final_Price,Quantity,Total_Amount,City,Payment_Method,Order_Status,Rating,Customer_Segment,Year,Month,Month_Name,Quarter,Day_of_Week,Week
ORD100000,2025-03-24,CUST16265,Accessories,Jewelry,W,W Jewelry,1429,20,285.8,1143.2,1,1143.2,Bangalore,Credit Card,Delivered,4.0,Budget,2025,3,March,1,Monday,13
ORD100001,2025-12-06,CUST15311,Accessories,Wallets,H&M,H&M Wallets,742,40,296.8,445.2,1,445.2,Indore,Credit Card,Delivered,5.0,Budget,2025,12,December,4,Saturday,49
ORD100002,2025-08-04,CUST94654,Men,T-Shirts,Mast & Harbour,Mast & Harbour T-Shirts,998,10,99.8,898.2,1,898.2,Bangalore,Debit Card,Cancelled,,Budget,2025,8,August,3,Monday,32
ORD100003,2025-04-21,CUST18792,Men,Jeans,Levis,Levis Jeans,2819,10,281.9,2537.1,1,2537.1,Indore,UPI,Delivered,3.0,Mid-tier,2025,4,April,2,Monday,17
ORD100004,2025-11-16,CUST90077,Accessories,Bags,Levis,Levis Bags,4950,20,990.0,3960.0,1,3960.0,Mumbai,Debit Card,Delivered,4.0,Mid-tier,2025,11,November,4,Sunday,46
ORD100005,2025-02-03,CUST42606,Women,Sarees,Wrogn,Wrogn Sarees,1160,10,116.0,1044.0,2,2088.0,Ahmedabad,UPI,Delivered,5.0,Mid-tier,2025,2,February,1,Monday,6
ORD100006,2025-07-12,CUST49099,Accessories,Jewelry,W,W Jewelry,1375,10,137.5,1237.5,3,3712.5,Indore,Debit Card,Delivered,4.0,Mid-tier,2025,7,July,3,Saturday,28
ORD100007,2025-11-21,CUST49504,Kids,T-Shirts,Roadster,Roadster T-Shirts,946,10,94.6,851.4,2,1702.8,Ahmedabad,UPI,Delivered,3.0,Budget,2025,11,November,4,Friday,47
ORD100008,2025-07-30,CUST99135,Women,Dresses,Levis,Levis Dresses,3699,10,369.9,3329.1,1,3329.1,Pune,Debit Card,Delivered,5.0,Mid-tier,2025,7,July,3,Wednesday,31
ORD100009,2025-12-06,CUST37266,Women,Jeans,Zara,Zara Jeans,3759,20,751.8,3007.2,3,9021.6,Mumbai,UPI,Delivered,4.0,Premium,2025,12,December,4,Saturday,49
ORD100010,2025-09-20,CUST60015,Men,Watches,W,W Watches,6976,0,0.0,6976.0,1,6976.0,Pune,UPI,Delivered,5.0,Premium,2025,9,September,3,Saturday,38
